attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation	repo
Chla	Concentration of chlorophyll a per unit volume of the water body http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ corresponding to BCO-DMO chl_a SeaBASS Chl and CF mass_concentration_of_ chlorophyll_a_in_sea_water. Chlorophyll-a concentration at the start of the experiment (initial Chl-a >0&<200 at the sampling depth)	numeric	milligramPerMeterCubed				nes-lter-growth-grazing-chl
Chlad10	Chlorophyll-a <10 µm concentration at the start of the experiment (initial Chl-a 0>&<10 at the sampling depth). Obtained by difference between measured total Chl-a (GFF, >0&<200) and Chl-a >10 µm (10 µm filter, >10&<200)	numeric	milligramPerMeterCubed			Not available	nes-lter-growth-grazing-chl
Chlad10per	Proportion of total chlorophyll-a that is <10 µm	numeric	dimensionless			Not available	nes-lter-growth-grazing-chl
Chlau10	Chlorophyll-a >10 µm concentration at the start of the experiment (initial Chl-a >10&<200 at the sampling depth)	numeric	milligramPerMeterCubed			Not available	nes-lter-growth-grazing-chl
Chlau10per	Proportion of total chlorophyll-a that is >10 µm	numeric	dimensionless			Not available	nes-lter-growth-grazing-chl
Comment	Additional information as free-form text	character					nes-lter-events-transect
Comments_gut	comments on the whole gut of the fish	character					nes-lter-fish-diet
Comments_prey	Comments on the individual prey 	character					nes-lter-fish-diet
Cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character				Missing value	nes-lter-events-transect
EN706_1	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
EN706_2	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
EN706_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
FishNum	Unique number for fish specimen	numeric	dimensionless				nes-lter-fish-diet,nes-lter-fish-diet-isotope
FishSpecies	Abbreviated name of fish species	categorical					nes-lter-fish-diet
Fish_Num	Unique number for fish specimen	numeric	dimensionless				nes-lter-fish-diet-isotope
HRS2303_1	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
HRS2303_2	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
HRS2303_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number				nes-lter-trawl-transect-abundance
Instrument	Instrument associated with event if applicable	character				Missing value	nes-lter-events-transect
L1	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L1	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L10	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L10	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L11	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L11	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L2	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L2	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L3	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L3	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L4	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L4	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L5	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L5	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L6	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L6	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L7	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L7	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L8	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L8	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
L9	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station L9	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
Latitude	Ship's latitude at event time	numeric	degree			Missing value	nes-lter-events-transect
Llopiz_taxa	Llopiz lab category of prey item	character				Empty fish gut	nes-lter-fish-diet
Longitude	Ship's longitude at event time	numeric	degree			Missing value	nes-lter-events-transect
MVCO	Abundance per meter squared as concentration of Taxon multiplied by depth sampled at station MVCO	numeric	numberPerMeterSquared			Missing value	nes-lter-zooplankton-transect-abundance
Mag	Magnification used at time of measurment	numeric	dimensionless			not available for unmeasured prey	nes-lter-fish-diet
Message.ID	R2R event log message ID if applicable	character				Missing value	nes-lter-events-transect
N_quality_flag	Laboratory quality flag for nitrogen data	categorical					nes-lter-poc-mvco
N_quality_flag	Nitrogen sample IODE Quality Flag primary level with lab flag for value below detection	categorical					nes-lter-poc-transect
Niskin_samples	Indication of whether Niskin samples were collected	categorical					nes-lter-events-mvco
Ocularunits	Units on eyepiece micrometer	numeric	dimensionless			not available for unmeasured prey	nes-lter-fish-diet
PI_recipient	PI or lab that will be responsible for storing or processing the sample. 	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
POC_microg_perL	Particulate organic carbon in micrograms per liter http://vocab.nerc.ac.uk/collection/P01/current/CORGCAP1/	numeric	microgramsPerLiter				nes-lter-npp-transect
POC_microg_perL	Particulate organic carbon in micrograms per liter http://vocab.nerc.ac.uk/collection/P01/current/CORGPGFF/	numeric	microgramsPerLiter			Missing value	nes-lter-poc-mvco,nes-lter-poc-transect
POC_micromolar	Particulate organic carbon in micromoles per liter http://vocab.nerc.ac.uk/collection/P01/current/CORGPGFF/	numeric	micromolePerLiter			Missing value	nes-lter-poc-mvco,nes-lter-poc-transect
PON_microg_perL	Particulate organic nitrogen in micrograms per liter http://vocab.nerc.ac.uk/collection/P01/current/NTOTPGFF/	numeric	microgramsPerLiter			Missing value	nes-lter-poc-mvco,nes-lter-poc-transect
PON_micromolar	Particulate organic nitrogen in micromoles per liter http://vocab.nerc.ac.uk/collection/P01/current/NTOTPGFF/	numeric	micromolePerLiter			Missing value	nes-lter-poc-mvco,nes-lter-poc-transect
Scope	microscope used for identification and measurments	categorical					nes-lter-fish-diet
Station	Named location of event if applicable	character					nes-lter-events-transect
Taxon	Taxon name in ITIS database matching to itis_tsn	character	dimensionless			Missing value	nes-lter-zooplankton-transect-abundance
Tioga_data_at_WHOI_DLA	Link to data location	character				Vessel was other than R/V Tioga	nes-lter-events-mvco
abbrevName_fish	Abbreviated name of fish species	character					nes-lter-fish-diet-isotope
alternate_sample_category	Identifer combining filter size with other information	character					nes-lter-npp-transect
alternate_sample_id	Sample identifier for project other than LTER	character	 		 	 	nes-lter-nutrient-transect
ammonium	Ammonium concentration in the water column URI http://vocab.nerc.ac.uk/collection/P02/current/AMON/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-mvco
ammonium	Ammonium concentration in the water column http://vocab.nerc.ac.uk/collection/P02/current/AMON/	numeric	micromolePerLiter			Missing value	nes-lter-nutrient-transect
associatedMedia	Unique URL identifier pointing to the landing page for the sample in an external repository. Darwin Core term http://rs.tdwg.org/dwc/terms/associatedMedia. This is used to generate the eventID.	character				Missing value	nes-lter-ifcb-transect-winter-2018
associatedMedia	Unique URL identifier pointing to the landing page for the ROI in an external repository. Darwin Core term http://rs.tdwg.org/dwc/terms/associatedMedia. This is used to generate the occurrenceID.	character				Missing value	nes-lter-ifcb-transect-winter-2018
average_depth	Average depth of seafloor during sample event	numeric	meter			Missing data in fisheries dataset	nes-lter-fish-diet-isotope
average_depth	Average depth of seafloor during sampling event	numeric	meter				nes-lter-fish-diet,nes-lter-fish-diet-isotope
basisOfRecord	Darwin Core HumanObservation or MachineObservation (http://rs.tdwg.org/dwc/terms/basisOfRecord)	character				Missing value	nes-lter-ifcb-transect-winter-2018
beam_atten_0_10	Average beam attenuation (At) measured by ship's transmissometer within the upper 10 m of water column	numeric	perMeter			Missing value	nes-lter-npp-transect
bongo_or_other_net	Indication of whether bongo net or other type of plankton net was deployed	categorical					nes-lter-events-mvco
bucket_sample	Indication of whether a bucket sample of water was collected	categorical					nes-lter-events-mvco
cast	CTD rosette cast number chronological per cruise	numeric	dimensionless			Missing value	minimal-edi-package,nes-lter-attune-fcm-discrete-transect,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-nutrient-transect,nes-lter-poc-transect,nes-lter-zooplankton-transect-inventory
cast	"CTD rosette cast number chronological by cruise. When seawater was sampled during multiple casts at a given station, cast numbers are seprated by ""|"""	character					nes-lter-growth-grazing-chl
cast	CTD rosette cast number chronological order per cruise	character					nes-lter-chl-transect
cast	Trawl number sequential within cruise	numeric	dimensionless				nes-lter-trawl-transect-abundance
cast_type	oblique or vertical net casts	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
chl	Concentration of chlorophyll a per unit volume of the water body http://vocab.nerc.ac.uk/collection/P01/current/CPHLZZXX/ corresponding to BCO-DMO chl_a SeaBASS Chl and CF mass_concentration_of_ chlorophyll_a_in_sea_water	numeric	microgramsPerLiter		"""NA"""	Missing value	nes-lter-chl-mvco,nes-lter-chl-transect,nes-lter-chl-transect-underway-discrete
cod_end_fullness	Visual estimate of the amount of sample in the collection as a fraction of cod end volume	character					nes-lter-trawl-transect-abundance
comment	Additional information as free-form text	character					nes-lter-events-mvco
comments_logsheets	comments from the paper fieldsheets	character	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
comments_reMissingSample	comments on why a sample is missing	character	dimensionless			Not Applicable	nes-lter-zooplankton-transect-inventory
concentrationFlag	flag 0 concentration may be invalid or 1 concentration likely valid for this taxon when IFCB triggering only on chlorophyll fluorescence	numeric	dimensionless			Missing value	nes-lter-ifcb-transect-winter-2018
cruise	identifier for research cruise generally including abbreviation for research vessel and voyage number	character					nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
cruise	Identifier for research cruise generally including abbreviation for research vessel and voyage number	character	 		 	Missing value	minimal-edi-package,nes-lter-chl-transect,nes-lter-chl-transect-underway-discrete,nes-lter-doc-transect,nes-lter-eims-toi-ncp-gop,nes-lter-growth-grazing-chl,nes-lter-npp-transect,nes-lter-nutrient-transect,nes-lter-poc-transect,nes-lter-trawl-transect-abundance,nes-lter-zooplankton-transect-abundance,nes-lter-zooplankton-transect-inventory
cruise	Identifer for research cruise generally including abbreviation for research vessel and voyage number	character					nes-lter-nutrient-mvco
cruise	Cruise that sample was collected during	character					nes-lter-fish-diet,nes-lter-fish-diet-isotope
cruise	Cruise identifer for the R/V Tioga	character					nes-lter-chl-mvco
cruise_ID	Cruise identifer for the R/V Tioga	character				Vessel was other than R/V Tioga	nes-lter-events-mvco,nes-lter-poc-mvco
cruise_station	Cruise and station identifier for sample collected	character					nes-lter-fish-diet-isotope
d13C	Carbon-13 to Carbon-12 isotopic ratio in delta notation	numeric	dimensionless				nes-lter-fish-diet-isotope
d13C_corr	Lipid-corrected carbon signature	numeric	dimensionless				nes-lter-fish-diet-isotope
d15N	Nitrogen-15 to Nitrogen-14 isotopic ratio in delta notation	numeric	dimensionless				nes-lter-fish-diet-isotope
data_provider_category_HumanObservation	Category used by the data provider to name the organism for a manual identification, not necessarily a scientific name	character				Missing value	nes-lter-ifcb-transect-winter-2018
date	Date of fish collection in UTC	Date		YYYY-MM-DD		Missing data in fisheries dataset	nes-lter-fish-diet-isotope
date	date and time in UTC for the sampling event http://rs.tdwg.org/dwc/terms/eventDate	Date		YYYY-MM-DD hh:mm:ss		Missing value	nes-lter-picoeuk-mvco
date	Date and time in UTC when rosette bottle closed	Date	 	YYYY-MM-DD hh:mm:ss	 	Missing value	minimal-edi-package,nes-lter-nutrient-transect
date	Date of event	Date		YYYY-MM-DD			nes-lter-events-mvco
dateTime8601	Date and time in UTC of event	Date		YYYY-MM-DD hh:mm:ss		Missing value	nes-lter-events-transect
date_analyzed	Date of laboratory sample analysis	Date		YYYY-MM-DD			nes-lter-doc-transect
date_processed	date when frozen sample was thawed and run on flow cytometer	Date		YYYY-MM-DD	 	 	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
date_sampled	date and time in UTC for the sample	Date		YYYY-MM-DD hh:mm:ss	 	 	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
date_time_utc	Mean of bottle closure date-time for all rosette bottles included in measurement	Date		YYYY-MM-DD hh:mm:ss		Missing value	nes-lter-npp-transect
date_time_utc	Date and time in UTC when rosette bottle closed	Date		YYYY-MM-DD hh:mm:ss	"""NA"""	Missing value	nes-lter-chl-transect,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-poc-transect
date_time_utc	date and time in UTC for the sample	Date		YYYY-MM-DD hh:mm:ss		Missing value	nes-lter-attune-transect-continuous
date_time_utc	Date and time in UTC	Date		YYYY-MM-DDThh:mm:ssZ		Missing value	nes-lter-chl-transect-underway-discrete
date_time_utc	Date and time in UTC when cast started or bucket filled	Date		YYYY-MM-DD hh:mm:ss	 	Missing value	nes-lter-chl-mvco,nes-lter-nutrient-mvco,nes-lter-poc-mvco
date_time_utc_end	Date and time (UTC) of the end of the incubation	Date		YYYY-MM-DD hh:mm:ss			nes-lter-growth-grazing-chl
date_time_utc_sampling	Mean of bottle closure date-time for all rosette bottles included in measurement in UTC	Date		YYYY-MM-DD hh:mm:ss			nes-lter-growth-grazing-chl
date_time_utc_start	Date and time (UTC) of the start of the incubation	Date		YYYY-MM-DD hh:mm:ss			nes-lter-growth-grazing-chl
datetime_utc	Data product UTC date and time	Date		YYYY-MM-DD hh:mm:ss			nes-lter-eims-toi-ncp-gop
datetime_utc	PI-provided UTC date and time 	Date		YYYY-MM-DD hh:mm:ss			nes-lter-eims-toi-ncp-gop
datetime_utc_input	PI-provided UTC date and time 	Date		YYYY-MM-DD hh:mm:ss			nes-lter-eims-toi-ncp-gop
daytime_Y_N	Casts with surface PAR above 10 micromol photons/m2/s classified as daytime	categorical					nes-lter-npp-transect
decimalLatitude	Ship's latitude when sample was taken	numeric	degree			Missing value	nes-lter-ifcb-transect-winter-2018
decimalLatitude	Latitude at the start of the sample event	numeric	dimensionless				nes-lter-fish-diet,nes-lter-fish-diet-isotope
decimalLatitude	Latitude of sample event	numeric	dimensionless			Missing data in fisheries dataset	nes-lter-fish-diet-isotope
decimalLatitudeEnd	Ship’s latitude when net was recovered	numeric	degree				nes-lter-trawl-transect-abundance
decimalLatitudeStart	Ship’s latitude when net was deployed	numeric	degree				nes-lter-trawl-transect-abundance
decimalLongitude	Longitude at the start of the sample event	numeric	dimensionless				nes-lter-fish-diet,nes-lter-fish-diet-isotope
decimalLongitude	Longitude of sample event	numeric	dimensionless			Missing data in fisheries dataset	nes-lter-fish-diet-isotope
decimalLongitude	Ship's longitude when sample was taken	numeric	degree			Missing value	nes-lter-ifcb-transect-winter-2018
decimalLongitudeEnd	Ship’s longitude when net was recovered	numeric	degree				nes-lter-trawl-transect-abundance
decimalLongitudeStart	Ship’s longitude when net was deployed	numeric	degree				nes-lter-trawl-transect-abundance
decimalLongitude_flag	Iode quality flag for decimalLongitude field	categorical				Missing data from fisheries datasets	nes-lter-fish-diet-isotope
depth	depth of sample below sea surface http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			Missing value	nes-lter-picoeuk-mvco
depth	Depth of underway seawater intake below sea surface	numeric	meter			Missing value	nes-lter-chl-transect-underway-discrete
depth	Depth of sample below sea surface. URI http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			Missing value	nes-lter-eims-toi-ncp-gop,nes-lter-ifcb-transect-winter-2018,nes-lter-nutrient-mvco,nes-lter-nutrient-transect
depth	Depth of sample below sea surface http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			Missing value	minimal-edi-package,nes-lter-chl-mvco,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-poc-mvco,nes-lter-poc-transect
depth	Depth of sample below sea surface as recorded by CTD	numeric	meter		"""NA"""	Missing value	nes-lter-chl-transect
depth	Depth of sample below sea surface. The value provided is the mean depth at which the rosette bottles were fired	numeric	meter				nes-lter-growth-grazing-chl
depth_bottom	Depth of the seafloor in sampling area http://vocab.nerc.ac.uk/collection/P09/current/BATH/	numeric	meter				nes-lter-trawl-transect-abundance
depth_category	Category based on light extinction that describes where in water column sample was obtained	categorical					nes-lter-npp-transect
depth_m	Depth of sample below sea surface; https://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
depth_m	depth of underway seawater intake below sea surface http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	numeric	meter			Missing value	nes-lter-attune-transect-continuous
depth_tow	Depth of the tow in meters; if a range, deployment was a towyo http://vocab.nerc.ac.uk/collection/P09/current/DEPH/	character					nes-lter-trawl-transect-abundance
dilution	Dilution of the incubation as the proportion of whole seawater to filtered seawater	numeric	dimensionless				nes-lter-growth-grazing-chl
distance	Distance from sample location to nearest NES-LTER standard station	numeric	kilometer		"""NA"""	Distance greater than 2 km from NES-LTER standard station	nes-lter-chl-transect
doc	Concentration of organic carbon {organic_C CAS 7440-44-0} {DOC} per unit volume of the water body [dissolved plus reactive particulate <GF/F phase] by filtration and high temperature Pt catalytic oxidation. http://vocab.nerc.ac.uk/collection/P01/current/CORGCOD1/	numeric	micromolePerLiter			Not available	nes-lter-doc-transect
dtn	Concentration of total nitrogen {total_N} per unit volume of the water body [dissolved plus reactive particulate <GF/F phase] by filtration and high temperature Pt catalytic oxidation. http://vocab.nerc.ac.uk/collection/P01/current/NTOTCOD1/	numeric	micromolePerLiter			Not available	nes-lter-doc-transect
duration_incubation	Duration of the incubation of the dilution experiment	numeric	nominalDay				nes-lter-growth-grazing-chl
event 	Event identifier comprised of cruise and cast	character					nes-lter-trawl-transect-abundance
eventDate	Date and time in UTC	Date		YYYY-MM-DD hh:mm:ss		Missing value	nes-lter-ifcb-transect-winter-2018
eventDate	Date the trawl was conducted and the sample preserved	Date		YYYY-MM-DD			nes-lter-trawl-transect-abundance
eventID	Darwin Core unique identifier for the sample as an Event (http://rs.tdwg.org/dwc/terms/eventID)	character				Missing value	nes-lter-ifcb-transect-winter-2018
event_number	Identification number for each MVCO discrete sampling event	character			 	 	nes-lter-chl-mvco,nes-lter-events-mvco,nes-lter-fcm-discrete-mvco,nes-lter-poc-mvco
event_number	Identifier for each discrete sampling event (on MVCO day cruise) or cast (on transect cruise)	character			 	 	nes-lter-nutrient-mvco
event_number_niskin	Identification number for each Niskin or bucket collection during MVCO discrete sampling event	character			 	 	nes-lter-chl-mvco,nes-lter-fcm-discrete-mvco,nes-lter-poc-mvco
event_number_niskin	Identification number for each bucket collection (suffix _00) or rosette bottle (suffix greater than 0)	character			 	 	nes-lter-nutrient-mvco
family	Family name of taxon http://rs.tdwg.org/dwc/terms/family	character					nes-lter-trawl-transect-abundance
filename	name of the original .fcs file which the sample corresponds to	character				Missing value	nes-lter-attune-transect-continuous
filename	Name of individual sample data file from analytical instrument	character					nes-lter-doc-transect
filter_size	Size fraction with filter and prefilter pore size in micrometers 	categorical					nes-lter-npp-transect
filter_size	Size fraction with filter and when applicable prefilter in micrometers	categorical					nes-lter-chl-mvco,nes-lter-chl-transect-underway-discrete
filter_size	Size fraction with filter and when applicable prefilter in micrometers 	categorical					nes-lter-chl-transect
fixative	method of preservation used on the sample	categorical	dimensionless			Missing value	nes-lter-zooplankton-transect-inventory
fluorescence_post_cal	Post-calibrated chlorophyll a concentration for the preferred fluorometer	numeric	microgramsPerLiter			Missing value	nes-lter-chl-transect-underway-discrete
fluorometer	Comment or fluorometer identifer	character					nes-lter-chl-mvco
forkLength	Length of the fish measured from the tip of the snout to the end of the middle caudal fin rays	numeric	millimeter			Fork length not measured	nes-lter-fish-diet,nes-lter-fish-diet-isotope
gop	Gross oxygen production	numeric	millimolePerMeterSquaredPerDay			Missing value	nes-lter-eims-toi-ncp-gop
grazing	Phytoplankton mortality rate due to microzooplankton grazing	numeric	perDay			Not determined because g < 0, which is a violation of dilution method's assumption.	nes-lter-growth-grazing-chl
grazing_std	Uncertainty of grazing rate quantified using the standard error of the slope fit from a linear regression between replicate k values and dilution levels	numeric	perDay			Not determined because g < 0, which is a violation of dilution method's assumption.	nes-lter-growth-grazing-chl
gutCount	Total number of prey items in the gut of fish specimen	numeric	dimensionless				nes-lter-fish-diet
hetprok_carbon_concentration	micrograms of carbon per liter of seawater of heterotrophic prokaryotic cells (http://vocab.nerc.ac.uk/collection/F02/current/F0200010/ and http://vocab.nerc.ac.uk/collection/F02/current/F0200011/) estimated from cell concentration and constant carbon per cell ratio of 20fg per cell from Lee and Furham (1987) who report that bacterial biomass is relatively invariant to cell size	numeric	microgramsPerLiter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
hetprok_cells_per_ml	abundance per milliliter of heterotrophic prokaryotic cells http://vocab.nerc.ac.uk/collection/F02/current/F0200010/ and http://vocab.nerc.ac.uk/collection/F02/current/F0200011/	numeric	numberPerMilliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
hetprok_filename	name of original .fcs file used to identify heterotrophic prokaryotes in this sample	character			 	 	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
hetprok_volume_analyzed_ml	volume of seawater analyzed in milliliters during the flow cytometry run associated with hetprok_filename	numeric	milliliter			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-fcm-discrete-mvco
higherClassification_group	Higher level phytoplankton group that contains the taxon, from Darwin Core term http://rs.tdwg.org/dwc/terms/higherClassification	categorical			NotApplicable	Several categories are not organisms thus taxonomic names are NotApplicable	nes-lter-ifcb-transect-winter-2018
incub_type	Identifier for incubation type (either ambient or experiemental)	categorical					nes-lter-npp-transect
incubation_tank	Incubation tank number (X) where the experiment was performed. This number refers to the CRUISE_temp_inc_X.csv file in chl-grazing-experiment-temo-inc-data folder	categorical					nes-lter-growth-grazing-chl
integrated_npp_mg_m2_day	Vertically-integrated net primary productivity measured as uptake rate of carbon per unit area of the water body [particulate >0.7um phase] per day	numeric	milligramPerMeterSquaredPerDay			Missing value	nes-lter-npp-transect
iode_quality_flag	IODE Quality Flag primary level	categorical				Value not expected	nes-lter-chl-mvco,nes-lter-chl-transect,nes-lter-chl-transect-underway-discrete,nes-lter-eims-toi-ncp-gop,nes-lter-growth-grazing-chl,nes-lter-npp-transect
iode_quality_flag_c	IODE Quality Flag primary level for DOC	categorical					nes-lter-doc-transect
iode_quality_flag_n	IODE Quality Flag primary level for DTN	categorical					nes-lter-doc-transect
iode_quality_flag_phosphate	IODE Quality Flag primary level	categorical					nes-lter-nutrient-mvco
itis_tsn	Taxonomic serial number identifier in ITIS database	numeric	dimensionless			Missing value	nes-lter-zooplankton-transect-abundance
jar_no_processed	Identification number of sample vessel processed for identification and counting	numeric	dimensionless				nes-lter-trawl-transect-abundance
k	Gas transfer velocity used in calculating ncp from O2/Ar ratio	numeric	metersPerDay			Missing value	nes-lter-eims-toi-ncp-gop
k_calc_per_m	Light extinction coefficient calculated from the measured daytime light extinction coefficient and beam attenuation	numeric	perMeter			Missing value	nes-lter-npp-transect
k_meas_per_m	Measured light extinction coefficient	numeric	perMeter			Missing value	nes-lter-npp-transect
latitude	ships latitude in decimal degrees	numeric	degree			Missing value	nes-lter-attune-fcm-discrete-transect,nes-lter-attune-transect-continuous,nes-lter-fcm-discrete-mvco
latitude	geographic latitude in decimal degrees http://rs.tdwg.org/dwc/terms/decimalLatitude	numeric	degree			Missing value	nes-lter-picoeuk-mvco
latitude	Ships latitude when the rosette bottle closed	numeric	degree		"""NA"""	Missing value	nes-lter-chl-transect
latitude	Ships latitude	numeric	degree			Missing value	nes-lter-chl-transect-underway-discrete
latitude	Ship's latitude when cast started or latitude of MVCO	numeric	degree			Missing value	nes-lter-chl-mvco,nes-lter-nutrient-mvco,nes-lter-poc-mvco
latitude	Mean of ship's latitude when rosette bottles closed	numeric	degree			Missing value	nes-lter-growth-grazing-chl,nes-lter-npp-transect
latitude	Latitude of sample event provided by PI	numeric	degree				nes-lter-eims-toi-ncp-gop
latitude	Ship's latitude when rosette bottle closed	numeric	degree			Missing value	minimal-edi-package,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-nutrient-transect,nes-lter-poc-transect
latitude_API	Latitude of sample event provided by NES-LTER API	numeric	degree				nes-lter-eims-toi-ncp-gop
latitude_input	Latitude of sample event provided by PI	numeric	degree				nes-lter-eims-toi-ncp-gop
lifeStage	Taxon life stage http://rs.tdwg.org/dwc/iri/lifeStage using BODC vocabulary http://vocab.nerc.ac.uk/collection/S11/current/	character					nes-lter-trawl-transect-abundance
light_level	Target percentage of ambient light during the incubation	categorical					nes-lter-growth-grazing-chl
longitude	Mean of ship's longitude when rosette bottles closed	numeric	degree			Missing value	nes-lter-growth-grazing-chl,nes-lter-npp-transect
longitude	Longitude of sample event provided by PI	numeric	degree				nes-lter-eims-toi-ncp-gop
longitude	Ship's longitude when cast started or longitude of MVCO	numeric	degree			Missing value	nes-lter-chl-mvco,nes-lter-nutrient-mvco,nes-lter-poc-mvco
longitude	Ship's longitude when rosette bottle closed	numeric	degree			Missing value	minimal-edi-package,nes-lter-doc-transect,nes-lter-npp-transect,nes-lter-nutrient-transect,nes-lter-poc-transect
longitude	Ships longitude	numeric	degree			Missing value	nes-lter-chl-transect-underway-discrete
longitude	Ships longitude when the rosette bottle closed	numeric	degree		"""NA"""	Missing value	nes-lter-chl-transect
